CS135500,Introduction to Programming (I),20
CS135601,Introduction to Programming (II),53
CS135602,Introduction to Programming (II),52
CS140101,Computer Systems & Applications,71
CS140102,Computer Systems & Applications,68
CS150100,English Listening & Speaking,72
CS210001,Circuits and Electronics (I),49
CS210002,Circuits and Electronics (I),50
CS210201,Digital Logic Design,38
CS210202,Digital Logic Design,18
CS233400,Linear Algebra,59
CS235100,Data Structures,22
CS241001,Software Studio,66
CS241002,Software Studio,56
CS333201,Probability,48
CS333202,Probability,34
CS340400,Compiler Design,42
CS342300,Operating Systems,39
CS343100,Web Programming Technologies and Applications,21
CS357000,Introduction to Multimedia,1
CS410001,Computer Architecture,7
CS410002,Computer Architecture,10
CS411100,Introduction to Parallel Computing,24
CS431100,Design and Analysis of Algorithms,47
CS446101,Software Engineering,16
CS446102,Software Engineering,64
CS450500,Introduction to Graphics Programming and Applications,56
CS471000,Introduction to Database Systems,21
CS510000,Advanced Computer Architecture,7
CS510700,Development Software Tools for Embedded Systems,43
CS512200,VLSI Design for Manufacturability,15
CS513200,Deep Learning Hardware Accelerator Design,38
CS518000,Electronic System Level Design,65
CS526200,Multimedia Networking and Systems,55
CS529100,Stochastic Processes for Networking,54
CS530600,Social Networks,34
CS531100,Advanced Data Structure,19
CS531200,Graph Theory,14
CS531400,Randomized Algorithms,19
CS534100,Advanced game Theory and its applications,4
CS540400,Advanced Compiler,42
CS542000,Cloud Programming,23
CS542100,Cloud Computing,20
CS546400,High Tech Entrepreneurship,44
CS550000,Computer Graphics,31
CS570100,Data Science,58
CS591200,English for Science and Technology,51
CS591300,Academic Research Writing,73
CS613500,VLSI Physical Design Automation,17
CS631100,Computational Geometry,8
CS727500,Online Social Network,34
CS742500,Special Topics on Real Time Systems,43
CS742600,Special Topics on Resource Allocation,46
CS746100,Special Topics in Software Engineering,16
CS754000,Special Topics on Pattern Recognition,48
CS771000,Special Topics in Data Base Management System(I),22
