CS135500,Introduction to Programming (I),3,T7T8F7F8,DELTA102,LEE CHE RUNG,60
CS135601,Introduction to Programming (II),3,T5T6F5F6,DELTA104,CHEN HWANN TZONG,100
CS135602,Introduction to Programming (II),3,T5T6F5F6,DELTA105,YANG SHUN REN,100
CS140101,Computer Systems & Applications,3,M7M8M9,LS I 105,CHEN YU SHU,0
CS140102,Computer Systems & Applications,3,W7W8W9,HSSC402,HUANG TZU WEI,40
CS150100,English Listening & Speaking,3,W7W8W9,DELTA102,KUO SHIH CHIH,35
CS210001,Circuits and Electronics (I),3,M3M4W2,DELTA108,CHIU CHING TE,90
CS210002,Circuits and Electronics (I),3,M3M4W2,DELTA105,WANG CHUN YAO,90
CS210201,Digital Logic Design,3,M7M8R5R6,DELTA107,LIN YOUN LONG,90
CS210202,Digital Logic Design,3,M7M8R5R6,DELTA104,HUANG CHIH TSUN,90
CS233400,Linear Algebra,3,M3M4W2,DELTA109,HUNG WEN LIANG,90
CS235100,Data Structures,3,M3M4W2 MaMb,DELTA103 EECS326,CHEN YI SHIN,90
CS241001,Software Studio,3,T7T8 R7R8,DELTA105 EECS 326,CHANG CHUN TIEN,90
CS241002,Software Studio,3,T7T8 R7R8,EECS 326 DELTA105,CHU HUNG KUO,90
CS333201,Probability,3,W3W4F4,DELTA107,HSU CHIU TING,90
CS333202,Probability,3,W3W4F4,DELTA109,LEE DUAN SHIN,90
CS340400,Compiler Design,3,T7T8R7,DELTA108,LEE JENQ KUEN,90
CS342300,Operating Systems,3,T3T4R4,EECS 132,WANG JIA SHUNG,90
CS343100,Web Programming Technologies and Applications,3,M5M6R5,DELTA102,WU SHAN HUNG,90
CS357000,Introduction to Multimedia,3,T5F5F6,DELTA108,LAI SHANG HONG,90
CS410001,Computer Architecture,3,T3T4R3,DELTA105,KING CHUNG TA,100
CS410002,Computer Architecture,3,M7M8R6,DELTA105,CHANG SHIH CHIEH,100
CS411100,Introduction to Parallel Computing,3,T7T8R7,DELTA106,LEE CHUN YI,20
CS431100,Design and Analysis of Algorithms,3,W3W4F3,DELTA103,LU CHIN LUNG,90
CS446101,Software Engineering,3,W5W6R8,DELTA103,HUANG CHING YU,90
CS446102,Software Engineering,3,M7M8M9,DELTA109,LIU LUNG LUNG,90
CS450500,Introduction to Graphics Programming and Applications,3,M7M8M9,DELTA103,CHU HUNG KUO,70
CS471000,Introduction to Database Systems,3,M3M4W2,DELTA106,WU SHAN HUNG,90
CS510000,Advanced Computer Architecture,3,M3M4W2,DELTA104,KING CHUNG TA,0
CS510700,Development Software Tools for Embedded Systems,3,M7M8W7W8,EECS 128,SHIH WEI KUAN,20
CS512200,VLSI Design for Manufacturability,3,M3M4W2,EECS 129,MAK WAI KEI,30
CS513200,Deep Learning Hardware Accelerator Design,3,F6F7F8,DELTA107,LIN YOUN LONG,0
CS518000,Electronic System Level Design,3,TaTbTc,DELTA102,ALAN PEISHENG SU,25
CS526200,Multimedia Networking and Systems,3,M3M4W2,EECS 127,HSU CHENG HSIN,20
CS529100,Stochastic Processes for Networking,3,T7T8R7,DELTA104,KAO JUNG CHUN,40
CS530600,Social Networks,3,T5T6F5,DELTA109,LEE DUAN SHIN,80
CS531100,Advanced Data Structure,2,M3M4,EECS 128,HON WING KAI,20
CS531200,Graph Theory,3,M3M4W3W4,DELTA102,TSAI MING JER,30
CS531400,Randomized Algorithms,3,T3T4R3,DELTA109,HON WING KAI,20
CS534100,Advanced game Theory and its applications,3,T6T7T8T9,DELTA103,CHANG LONG WEN,25
CS540400,Advanced Compiler,3,M6M7M8,EECS 127,LEE JENQ KUEN,0
CS542000,Cloud Programming,3,M6M7M8,DELTA108,CHOU JERRY,40
CS542100,Cloud Computing,3,T5T6F6,DELTA106,LEE CHE RUNG,0
CS546400,High Tech Entrepreneurship,3,R6R7R8,DELTA102,TSAY REN SONG,0
CS550000,Computer Graphics,3,WaWbWc,DELTA105,LEE RUEN RONE,130
CS570100,Data Science,3,T7T8T9,EECS 132,SHEN CHIH YA,40
CS591200,English for Science and Technology,3,M7M8R6,EECS 129,CHOU PAI HSIANG,20
CS591300,Academic Research Writing,3,W7W8W9,DELTA107,CHANG JYUN SHENG,35
CS613500,VLSI Physical Design Automation,3,T7T8R4,EECS 128,HO TSUNG YI,40
CS631100,Computational Geometry,3,T3T4R3,EECS 131,WANG BIING FENG,30
CS727500,Online Social Network,2,T1T2,EECS 129,LEE DUAN SHIN,0
CS742500,Special Topics on Real Time Systems,2,M1M2,EECS 125,SHIH WEI KUAN,0
CS742600,Special Topics on Resource Allocation,2,F3F4,EECS 128,LIN HWA CHUN,0
CS746100,Special Topics in Software Engineering,2,F3F4,EECS 125,HUANG CHING YU,0
CS754000,Special Topics on Pattern Recognition,2,M3M4,EECS 125,HSU CHIU TING,0
CS771000,Special Topics in Data Base Management System(I),2,T5T6,DELTA615,CHEN YI SHIN,0
