1,Shang-Hong Lai,24,26,27,28,29,35,41
2,Chung Laung Liu,7,13
3,Chia-Tung Lee,18,34
4,Long-Wen Chang,24,26,27,29,35
5,Nen-Fu Huang,1,2,3,5,15,17,31,33,37,41
6,Von-Wun Soo,35,37,38,39
7,Chung-Ta King,18,19,22
8,Biing-Feng Wang,18,34
9,Chaur-Chin Chen,24,27
10,Shih-Chieh Chang,7,8,12
11,Jyuo-Min Shyu,7,8,33
12,Hung-Min Sun,1,5,33,35,37,38,41
13,Ting-Chi Wang,7
14,Ming-Jer Tsai,1,2,3,34
15,Wai-Kei Mak,7,13
16,Chin-Yu Huang,23,41
17,Tsung-Yi Ho,7,11,13
18,Chih-Tsun Huang,7,8,9,10,14,21,26,27,35,37,38
19,Wing-Kai Hon,34
20,Che-Rung Lee,15,18,33
21,Shan-Hung Wu,1,2,17,18,33,37,38,39
22,Yi-Shin Chen,31,33,35,36,37,38,39
23,Jerry Chou,15,17,18,19
24,Chun-Yi Lee,9,10,21,26,27,35,37,38,40
25,Cheng-Wen Wu
26,Chin-Chen Chang
27,Wen-Lian Hsu
28,Kwei-Jay Lin
29,Yuan Xie
30,Bor-Ren Jeng
31,Ruen-Rone Lee
32,Long-Rong Hu
33,Da-Cheng Juan
34,Duan-Shin Lee,1,2,17,31,37,38
35,Jane win-shih Liu
36,Wen-Tsuen Chen,1,2,3,17,18
37,Yu-Chin Hsu
38,Youn-Long Steve Lin,7,8
39,Jia-Shung Wang,29,30
40,TingTing Hwang,7,9
41,Jason S. Chang,32,33,35,36,37,38,39
42,Jenq-Kuen Lee,16,18,21
43,Wei-Kuan Shih,1,3,11,17,20,21,22
44,Ren-Song Tsay,9,12,14,18
45,Jang-Ping Sheu,1,2,3,17,18
46,Hwa-Chun Lin,1,2,3,4,17,31,33
47,Chin Lung Lu,34
48,Chiou-Ting Hsu,24,26,27,29,35
49,Ching-Te Chiu,1,6,8,10,24,26,27
50,Chun-Yao Wang,7,11,12
51,Pai H. Chou,21,22
52,Shun-Ren Yang,1,2,3
53,Hwann-Tzong Chen,26,27,35
54,Jung-Chun Kao,1,2
55,Cheng-Hsin Hsu,1,4,22
56,Hung-Kuo Chu,25,28
57,Hao-Chuan Wang,31,32
58,Chih-Ya Shen,29,31,36,37,38
59,Wen-Liang Hung
60,Cheng-Shang Chang
61,Arbee L.P.Chen
62,Chuan Yi Tang,18,34
63,Tzi-Cker Chiueh
64,Lung-Lung Liu
65,Alan Peisheng Su
66,Chun-Tien Chang
67,Chai K Toh
